,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1553720369739010049,1553720369739010049,1659270777000.0,2022-07-31 18:02:57,+0530,,"Attended and addressed at 'Modi@20: Dreams Meet Delivery', a symposium for introduction of a book on the political journey of our Prime Minister Shri @narendramodi ji.  Spoke on the Narendra Modi ji’s governance model which has grown stronger with every new challenge.  https://t.co/bh1yYtPoSO",en,[],[],160509668,160509668,kishanreddybjp,G Kishan Reddy,7,18,https://twitter.com/kishanreddybjp/status/1553720369739010049,[],"['https://pbs.twimg.com/media/FY_sbyzacAAxmi2.jpg', 'https://pbs.twimg.com/media/FY_sbyyacAA6DJZ.jpg', 'https://pbs.twimg.com/media/FY_sbyoaQAEGB3m.jpg', 'https://pbs.twimg.com/media/FY_sbyyaQAMv07O.jpg']",1,https://pbs.twimg.com/media/FY_sbyzacAAxmi2.jpg,False,57,1,17,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
1,1553711707121500161,1553711707121500161,1659268712000.0,2022-07-31 17:28:32,+0530,,"Maharashtra ke Partha Chatterjee ka khela hobe 😂😂  ED DETAINS Sanjay Raut in #PatraChawlLandScam   After all, MahaVasooli Sarkar was following Bengal model 😂😂  Ab Arthur jail main shayari sunaayenge 😂😂😂  #SanjayRautExposed  https://t.co/wrTWJF7M9F",hi,"['patrachawllandscam', 'sanjayrautexposed']",[],2289824455,2289824455,pallavict,PallaviCT,7,17,https://twitter.com/pallavict/status/1553711707121500161,[],"['https://pbs.twimg.com/media/FY_kjmoagAA-3g0.jpg', 'https://pbs.twimg.com/media/FY_kjmjaAAEXBrX.jpg']",1,https://pbs.twimg.com/media/FY_kjmoagAA-3g0.jpg,False,95,18,35,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
2,1553709099480944642,1553709099480944642,1659268090000.0,2022-07-31 17:18:10,+0530,,#JanhviKapoor looks stunning in a multicoloured dress as she promotes #GoodLuckJerry in the city. ❤️  https://t.co/ecC386zswV,en,"['janhvikapoor', 'goodluckjerry']",[],35695228,35695228,filmfare,Filmfare,7,17,https://twitter.com/filmfare/status/1553709099480944642,[],"['https://pbs.twimg.com/media/FY_iL3ZaUAAx9M_.jpg', 'https://pbs.twimg.com/media/FY_iMNfaIAE7Azo.jpg']",1,https://pbs.twimg.com/media/FY_iL3ZaUAAx9M_.jpg,False,314,7,15,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
3,1553704348076584960,1553704348076584960,1659266957000.0,2022-07-31 16:59:17,+0530,,✨ Streaming Overlay Design for @Juri_VT ✨ Congrats on your model reveal na ka💗  #mymecomms #VtuberEN #Vtuber #Vtuberassets  https://t.co/qlwCrvNPtj,en,"['mymecomms', 'vtuberen', 'vtuber', 'vtuberassets']",[],1453250707377860623,1453250707377860623,MyMelunaDesign,Mymeluna🐰✒️ ★ Comms CLOSED,7,16,https://twitter.com/MyMelunaDesign/status/1553704348076584960,[],"['https://pbs.twimg.com/media/FY_dHZ-VUAAYIq7.jpg', 'https://pbs.twimg.com/media/FY_dIkoVUAAAOlC.jpg', 'https://pbs.twimg.com/media/FY_dIkqUcAAvYZm.jpg']",1,https://pbs.twimg.com/media/FY_dHZ-VUAAYIq7.jpg,False,51,1,10,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
4,1553687178038808576,1553687178038808576,1659262864000.0,2022-07-31 15:51:04,+0530,,Which outfit will you choose for a Sunday outing with friends? Tag your friends too! 😍💯✨ . #RubinaDilaik #SritiJha #Pinkvilla #PinkvillaTelly  https://t.co/cUi5pCs8D1,en,"['rubinadilaik', 'sritijha', 'pinkvilla', 'pinkvillatelly']",[],2250985586,2250985586,PinkvillaTelly,Pinkvilla Telly,7,15,https://twitter.com/PinkvillaTelly/status/1553687178038808576,[],['https://pbs.twimg.com/media/FY_OFOXUIAAHFBP.jpg'],1,https://pbs.twimg.com/media/FY_OFOXUIAAHFBP.jpg,False,102,37,54,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
5,1553686192159240192,1553686192159240192,1659262628000.0,2022-07-31 15:47:08,+0530,,CIPINANG FASHION WEEK 🤣🤣  https://t.co/s6n1m2M0lu,en,[],[],3076031101,3076031101,DianaHeartily,Zahra Badar Khan,7,15,https://twitter.com/DianaHeartily/status/1553686192159240192,[],['https://pbs.twimg.com/media/FY_NW2JUIAIx_V-.jpg'],1,https://pbs.twimg.com/media/FY_NW2JUIAIx_V-.jpg,False,226,8,72,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
6,1553672218164740099,1553672218164740099,1659259297000.0,2022-07-31 14:51:37,+0530,,"Bangles, gajra in hair matlab dekh rahe ho? Bachpan se hi dress up karne ka shauk hai 😂  https://t.co/Xg5fh0FLHW",hi,[],[],715160245778055168,715160245778055168,whosthatmiss,Aisshwarya Kerure,7,14,https://twitter.com/whosthatmiss/status/1553672218164740099,[],['https://pbs.twimg.com/media/FY_ApRyaAAIAsYW.jpg'],1,https://pbs.twimg.com/media/FY_ApRyaAAIAsYW.jpg,False,249,40,4,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
7,1553672159587090432,1553672159587090432,1659259283000.0,2022-07-31 14:51:23,+0530,,My niece participated in a fancy dress competition and they dressed up her as Groot. 😭😭😭🫠🫠🫠🫠🔥🫶 “WE ARE GROOT!!!”  https://t.co/rLZtsDA4e8,en,[],[],1339638320242966528,1339638320242966528,naekum_nokuma,Mario,7,14,https://twitter.com/naekum_nokuma/status/1553672159587090432,[],['https://pbs.twimg.com/media/FY_Al8DaIAAe1si.jpg'],1,https://pbs.twimg.com/media/FY_Al8DaIAAe1si.jpg,False,179,19,3,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
8,1553656752931045377,1553656752931045377,1659255610000.0,2022-07-31 13:50:10,+0530,,"From the tweet this afternoon to now the outfit (white inner shirt, brown outer shirt glasses) what's next for #JeffBarcode today because the day is still long you know🤔 #JeffSaturxPassioneShoppingDestination  https://t.co/4uQJDn8r1I",en,"['jeffbarcode', 'jeffsaturxpassioneshoppingdestination']",[],1536220704852549632,1536220704852549632,LR01638057,JA🪐🌻💜❤️💜,7,13,https://twitter.com/LR01638057/status/1553656752931045377,[],"['https://pbs.twimg.com/media/FY-ylEGXgAAC8Mo.jpg', 'https://pbs.twimg.com/media/FY-ylPhXoAAwUUn.jpg', 'https://pbs.twimg.com/media/FY-ylXxWQAA36QM.jpg']",1,https://pbs.twimg.com/media/FY-ylEGXgAAC8Mo.jpg,False,114,4,41,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
9,1553654246767304704,1553654246767304704,1659255012000.0,2022-07-31 13:40:12,+0530,,"Meet Meerab, an undergraduate student from lahore doing ""Night duty as KFC rider"" to cover her fees &amp; will continue until she graduates and make her mark in Fashion Designing industry.  https://t.co/jCv98nEL28",en,[],[],1076168162494857218,1076168162494857218,SanaullahMahsod,Sanaullah Mahsood ✪,7,13,https://twitter.com/SanaullahMahsod/status/1553654246767304704,[],['https://pbs.twimg.com/media/FY-wS_0WYAAaFpI.jpg'],1,https://pbs.twimg.com/media/FY-wS_0WYAAaFpI.jpg,False,199,8,14,,fashion OR model OR dress OR styles OR currentlywearing OR outfit OR fashionpost OR todaysoutfit,,"24.8086744,80.896201,1500km",,,,,[],,,,
